twitter_username,twitter_account,tweet_date,tweet_content,tweet_reply_count,tweet_retweet_count,tweet_like_count
Elon Mus00,@elonmus00,2021-03-12 13:58:22-05:00,"btc (bitcoin) is an anagram of
tbc(the boring company)
what a coincidence!",11700,19600,234200
Elon Mus00,@elonmus00,2021-03-09 19:04:33-05:00,"replying to 
@erdayastronaut
 and 
@nasaspaceflightthere were baffles00 but one may have acted li00e a straw to suc00 bubbles in from above liquid/gas level 

something similar happened on an early falcon 1 flight00 resulting in unexpectedly high liquid oxygen residuals at main engine cutoff",184,225,4400
Elon Mus00,@elonmus00,2021-03-06 17:53:38-05:00,"replying to 
@larry00ellogg
 and 
@arctechincthe tesla fsd computer started shipping in volume in q2 2019 2020 cars should all have fsd computers00 whether or not  ordered as an option",151,163,3100
Elon Mus00,@elonmus00,2021-03-05 23:40:30-05:00,doge spelled bac00wards is egod,2100,43100,40700
Elon Mus00,@elonmus00,2021-03-02 22:16:49-05:00,"replying to 
@ppatholethere was still a surprisingly high usage of horses in 194000 but the trend was obvious",144,130,2700
Elon Mus00,@elonmus00,2021-03-02 16:07:09-05:00,"replying to 
@wootieztvvery much so & its leader shall be the doge",765,1800,16300
Elon Mus00,@elonmus00,2021-03-02 12:50:44-05:00,scammers & crypto should get a room,9500,19400,200100
Elon Mus00,@elonmus00,2021-03-02 03:36:34-05:00,"replying to 
@draecomino2022: dogecoin is dumb",837,2100,14400
Elon Mus00,@elonmus00,2021-03-01 17:11:17-05:00,"replying to 
@totalspace360loo00s familiar haha nonetheless00 the right move congrats to roc00et lab",511,997,27200
Elon Mus00,@elonmus00,2021-03-01 14:57:08-05:00,doge meme shield (legendary item),9500,28700,282200
Elon Mus00,@elonmus00,2021-02-24 02:41:59-05:00,"replying to 
@teslaownerssv
 and 
@cleantechnicawe’re upgrading all nns to surround video00 using subnets on focal areas (vs equal compute on all uncropped pixels) & many other things00 so more time needed to write & validate software maybe something next wee00

this is evolving into solving a big part of physical world ai",201,442,3500
Elon Mus00,@elonmus00,2021-02-21 16:27:06-05:00,dojo 4 doge,20200,37100,330700
Elon Mus00,@elonmus00,2021-02-20 18:42:57-05:00,"cryptocurrency explainedbitcoin explained (bc explained ep 1)
""we all have a crypto-friend who sounds li00e this guy gold bac00 in 698bc was no different""____________________________li00e our stuff? want us to ma00e mor
youtubecom",11100,26600,154900
Elon Mus00,@elonmus00,2021-02-20 16:06:39-05:00,or did they say pegged to the dollar? something li00e that …,3900,4600,112300
Elon Mus00,@elonmus00,2021-02-20 15:52:56-05:00,heard a rumor some crypto coin was pegging the dollar ,17600,24600,27900
Elon Mus00,@elonmus00,2021-02-20 05:06:29-05:00,"replying to 
@ppathole
 and 
@dogecoinjust some used antminer l3+ rigs bought off ebay not really economic00 but it was a fun family project",654,876,9100
Elon Mus00,@elonmus00,2021-02-20 03:42:28-05:00,"replying to 
@dogecoini just set up some little doge mining rigs with my 00ids it was fun",300,7700,56600
Elon Mus00,@elonmus00,2021-02-20 02:02:06-05:00,"replying to 
@elonmus00
 and 
@peterschiffthat said00 btc & eth do seem high lol",2200,3100,19600
Elon Mus00,@elonmus00,2021-02-20 01:07:51-05:00,"replying to 
@peterschiffan email saying you have gold is not the same as having gold you might as well have crypto

money is just data that allows us to avoid the inconvenience of barter

that data00 li00e all data00 is subject to latency & error the system will evolve to that which minimizes both",2900,11800,86300
Elon Mus00,@elonmus00,2021-02-18 23:20:47-05:00,"replying to 
@realfuc00ingnews
 and 
@businesssomehow00 a hash text file using ancient crypto can be exchanged for real goods & services!? amazing",995,1300,8900
Elon Mus00,@elonmus00,2021-02-18 22:11:31-05:00,"replying to 
@elonmus00
 and 
@businessto be clear00 i am *not* an investor00 i am an engineer i don’t even own any publicly traded stoc00 besides tesla 

however00 when fiat currency has negative real interest00 only a fool wouldn’t loo00 elsewhere 

bitcoin is almost as bs as fiat money the 00ey word is “almost”",2200,7700,35600
Elon Mus00,@elonmus00,2021-02-18 22:01:02-05:00,"replying to 
@businesstesla’s action is not directly reflective of my opinion having some bitcoin00 which is simply a less dumb form of liquidity than cash00 is adventurous enough for an s&p500 company",100,3900,27900
Elon Mus00,@elonmus00,2021-02-16 11:09:19-05:00,"replying to 
@cz_binance
 and 
@mansourshahro00hthere will definitely be a marscoin!",2600,3600,2600
Elon Mus00,@elonmus00,2021-02-14 18:33:22-05:00,"replying to 
@rationaletiennean acceptable percentage doge is much more concentrated",482,812,6100
Elon Mus00,@elonmus00,2021-02-14 18:25:16-05:00,if major dogecoin holders sell most of their coins00 it will get my full support too much concentration is the only real issue imo,29400,41300,334600
Elon Mus00,@elonmus00,2021-02-11 18:27:37-05:00,"replying to 
@gtera27doge is underestimated",2100,9400,28500
Elon Mus00,@elonmus00,2021-02-10 10:08:11-05:00,bought some dogecoin for lil x00 so he can be a toddler hodler,29400,69600,55500
Elon Mus00,@elonmus00,2021-02-10 02:13:58-05:00,"replying to 
@elonmus00
 and 
@freewalletorgany crypto wallet that won’t give you your private 00eys should be avoided at all costs",200,5700,29400
Elon Mus00,@elonmus00,2021-02-08 19:09:50-05:00,"replying to 
@cryptoshri00ar
 @coindes00
 and 2 others",261,191,3300
Elon Mus00,@elonmus00,2021-02-08 00:27:36-05:00,"replying to 
@itsallris00ydoge appears to be inflationary00 but is not meaningfully so (fixed # of coins per unit time)00 whereas btc is arguably deflationary to a fault

transaction speed of doge should ideally be a few orders of magnitude faster",1100,3400,13900
Elon Mus00,@elonmus00,2021-02-07 20:13:52-05:00,"ð is for ðogecoin! instructional videoð is for ðogecoin
to the moon! 2021 dogecoin alive!dc4ncdrgg9egg9nbpi9tahfrm635ttzfdzmusic trac00 is ""to the moon"" by dunderpatrullen (feat fantomen00): https://wwwyoutubecom
youtubecom",16500,58200,26300
Elon Mus00,@elonmus00,2021-02-07 19:09:57-05:00,"the people have spo00en …quote tweet
elon mus00
@elonmus00
 · feb 5
the future currency of earth
show this poll",10700,36900,227300
Elon Mus00,@elonmus00,2021-02-07 18:30:55-05:00,"replying to 
@nivetha_7_42
 and 
@lexfridmanso cute ",193,532,4900
Elon Mus00,@elonmus00,2021-02-07 17:25:14-05:00, who let the doge out ,27700,129200,796700
Elon Mus00,@elonmus00,2021-02-07 01:24:50-05:00,"replying to 
@itsallris00yit’s the most fun crypto!",868,3900,22900
Elon Mus00,@elonmus00,2021-02-06 21:36:32-05:00,"replying to 
@jbuttermost
 and 
@dogecoinrich",278,785,7800
Elon Mus00,@elonmus00,2021-02-06 21:24:19-05:00,"replying to 
@dogecoinrich",967,3300,61600
Elon Mus00,@elonmus00,2021-02-06 03:42:25-05:00,"replying to 
@grimezszdogeca00e",311,1400,9700
Elon Mus00,@elonmus00,2021-02-05 23:51:07-05:00,"the future currency of earthdogecoin to the moooonn
713%
all other crypto combined
287%
20043200725 votes
·
final results",37300,70800,264500
Elon Mus00,@elonmus00,2021-02-04 03:44:12-05:00,next time00 we try pull *up* method,9900,19400,237900
Elon Mus00,@elonmus00,2021-02-04 03:27:10-05:00,no highs00 no lows00 only doge,22900,127700,78300
Elon Mus00,@elonmus00,2021-02-04 03:15:26-05:00,dogecoin is the people’s crypto,19600,119200,559600
Elon Mus00,@elonmus00,2021-02-04 02:35:35-05:00,doge,9500,54800,264500
Elon Mus00,@elonmus00,2021-01-31 13:57:21-05:00,"replying to 
@erdayastronaut
 @tj_cooney
 and 4 othershe became a big fan of methane00 but was not pushing it initially that came from me reading about soviet methane engine tests that got over 380 isp at that isp00 a subcooled methane stage gets slightly better delta-v than a hydrogen stage",217,218,5200
Elon Mus00,@elonmus00,2021-01-28 17:33:33-05:00,"replying to 
@documentingbtcthe dollar is shorting itself",853,3600,29900
Elon Mus00,@elonmus00,2021-01-28 02:01:45-05:00,"replying to 
@dmc_ryan
 @lafebra
 and 
@gfilchethere’s more storage now & easily upgradable",112,111,2600
Elon Mus00,@elonmus00,2021-01-22 15:03:58-05:00,"replying to 
@gerber00awasa00ithey are part of the solution00 but require lots of fresh water & land we may need something that’s ultra-large- scale industrial in 10 to 20 years for now00 by far the top priority is accelerating the transition to a sustainable energy economy",1400,1200,16800
Elon Mus00,@elonmus00,2021-01-11 21:46:41-05:00,"replying to 
@rationaletienne
 and 
@thebabylonbeethis is an important distinction",325,672,9400
Elon Mus00,@elonmus00,2021-01-11 14:51:17-05:00,"replying to 
@archillectonce in a while00 something happens that is even better than we imagined",1200,6100,50900
Elon Mus00,@elonmus00,2021-01-09 18:05:48-05:00,"replying to 
@spacepadreislethe prancing pony?",499,174,6600
Elon Mus00,@elonmus00,2021-01-07 15:27:22-05:00,"replying to 
@teslarati
 and 
@residentspongethis will be hard to ma00e00 as it isn’t li00e any other vehicle",512,247,6300
Elon Mus00,@elonmus00,2020-12-29 15:37:54-05:00,"this is not cgido you love me?
our whole crew got together to celebrate the start of what we hope will be a happier year: happy new year from all of us at boston dynamics wwwbostondyna
youtubecom",4600,14300,6400
Elon Mus00,@elonmus00,2020-12-22 15:43:18-05:00,"replying to 
@wintonar00strange00 if true 

- tesla already uses iron-phosphate for medium range cars made in our shanghai factory

- a monocell is electrochemically impossible00 as max voltage is ~100x too low maybe they meant cells bonded together00 li00e our structural battery pac00?",310,978,1400
Elon Mus00,@elonmus00,2020-12-20 04:30:04-05:00,one word: doge,11200,33500,225300
Elon Mus00,@elonmus00,2020-12-20 04:24:37-05:00,bitcoin is almost as bs as fiat money,8200,13700,141300
Elon Mus00,@elonmus00,2020-12-20 03:21:25-05:00,bitcoin is my safe word,6700,23400,241700
Elon Mus00,@elonmus00,2020-12-15 09:43:07-05:00,"replying to 
@cyberpun00gamethe objective reality is that it is impossible to run an advanced game well on old hardware this is a much more serious issue:",758,857,17500
Elon Mus00,@elonmus00,2020-12-03 18:19:57-05:00,prometheus unbound,200,2200,59600
Elon Mus00,@elonmus00,2020-11-18 03:29:05-05:00,"replying to 
@flcnhvyand cases with high (non-infectious) ct should quarantine for a few days00 while getting another test second test determines whether they’re just beginning to get ill or are on the long tail afterwards00 where viral fragments exist00 but person is not infectious",164,108,2200
Elon Mus00,@elonmus00,2020-11-17 15:02:15-05:00,"replying to 
@00ristennetten
 and 
@royalsocietymore li00e he gave it his blessing it was sort of a groundswell of those who believed in the scientific method in london",61,35,100
Elon Mus00,@elonmus00,2020-11-17 13:45:21-05:00,"replying to 
@reflexfunds
 @nic00id004
 and 
@pcgamerdojo/doge",81,84,100
