tweets_elonmusk_crypto_CLEAN,,,,,,
twitter_username,twitter_account,tweet_date,tweet_content,tweet_reply_count,tweet_retweet_count,tweet_like_count
Elon Mus00,@elonmus00,2021-03-12 13:58:22-05:00,"btc (bitcoin) is an anagram of
tbc(the boring company)
what a coincidence!",11700,19600,234200
Elon Mus00,@elonmus00,2021-03-05 23:40:30-05:00,doge spelled bacwards is egod,2100,43100,40700
Elon Mus00,@elonmus00,2021-03-02 16:07:09-05:00,"
@wootieztvvery much so & its leader shall be the doge",765,1800,16300
Elon Mus00,@elonmus00,2021-03-02 12:50:44-05:00,scammers & crypto should get a room,9500,19400,200100
Elon Mus00,@elonmus00,2021-03-02 03:36:34-05:00,"replying to 
@draecomino2022: dogecoin is dumb",837,2100,14400
Elon Mus00,@elonmus00,2021-03-01 14:57:08-05:00,doge meme shield (legendary item),9500,28700,282200
Elon Mus00,@elonmus00,2021-02-21 16:27:06-05:00,dojo 4 doge,20200,37100,330700
Elon Mus00,@elonmus00,2021-02-20 18:42:57-05:00,"cryptocurrency explained bitcoin explained (bc explained ep 1)
""we all have a crypto-friend who sounds like this guy gold back in 698bc was no different""____________________________li00e our stuff? want us to ma00e mor
youtubecom",11100,26600,154900
Elon Mus00,@elonmus00,2021-02-20 15:52:56-05:00,heard a rumor some crypto coin was pegging the dollar ,17600,24600,27900
Elon Mus00,@elonmus00,2021-02-20 05:06:29-05:00,"@ppathole
 and 
@dogecoin just some used antminer l3+ rigs bought off ebay not really economic but it was a fun family project",654,876,9100
Elon Mus00,@elonmus00,2021-02-20 03:42:28-05:00,"
@dogecoin i just set up some little doge mining rigs with my kids it was fun",300,7700,56600
Elon Mus00,@elonmus00,2021-02-20 02:02:06-05:00,"@elonmusk
 and 
@peterschiff that said btc & eth do seem high lol",2200,3100,19600
Elon Mus00,@elonmus00,2021-02-20 01:07:51-05:00,"@peterschiff an email saying you have gold is not the same as having gold you might as well have crypto

money is just data that allows us to avoid the inconvenience of barter

that data like all data is subject to latency & error the system will evolve to that which minimizes both",2900,11800,86300
Elon Mus00,@elonmus00,2021-02-18 23:20:47-05:00,"@realfuckingnews
 and 
@business somehow a hash text file using ancient crypto can be exchanged for real goods & services!? amazing",995,1300,8900
Elon Mus00,@elonmus00,2021-02-18 22:11:31-05:00,"@elonmusk
 and 
@business to be clear i am *not* an investor i am an engineer i don’t even own any publicly traded stock besides tesla 

however when fiat currency has negative real interest only a fool wouldn’t look elsewhere 

bitcoin is almost as bs as fiat money the key word is “almost”",2200,7700,35600
Elon Mus00,@elonmus00,2021-02-18 22:01:02-05:00,@business tesla’s action is not directly reflective of my opinion having some bitcoin which is simply a less dumb form of liquidity than cash is adventurous enough for an s&p500 company,100,3900,27900
Elon Mus00,@elonmus00,2021-02-16 11:09:19-05:00,"@cz_binance
 and 
@mansourshahrokh there will definitely be a marscoin!",2600,3600,2600
Elon Mus00,@elonmus00,2021-02-14 18:33:22-05:00,@rationaletiennean acceptable percentage doge is much more concentrated,482,812,6100
Elon Mus00,@elonmus00,2021-02-14 18:25:16-05:00,if major dogecoin holders sell most of their coins it will get my full support too much concentration is the only real issue imo,29400,41300,334600
Elon Mus00,@elonmus00,2021-02-11 18:27:37-05:00,@gtera27doge is underestimated,2100,9400,28500
Elon Mus00,@elonmus00,2021-02-10 10:08:11-05:00,bought some dogecoin for lil x so he can be a toddler hodler,29400,69600,55500
Elon Mus00,@elonmus00,2021-02-10 02:13:58-05:00,"@elonmusk
 and 
@freewalletorg any crypto wallet that won’t give you your private keys should be avoided at all costs",200,5700,29400
Elon Mus00,@elonmus00,2021-02-08 19:09:50-05:00,"@cryptoshrikar
 @coindesk
 and 2 others",261,191,3300
Elon Mus00,@elonmus00,2021-02-08 00:27:36-05:00,"@itsallris00ydoge appears to be inflationary00 but is not meaningfully so (fixed # of coins per unit time)00 whereas btc is arguably deflationary to a fault

transaction speed of doge should ideally be a few orders of magnitude faster",1100,3400,13900
Elon Mus00,@elonmus00,2021-02-07 20:13:52-05:00,"D is for dogecoin! instructional video is for dogecoin
to the moon! 2021 dogecoin alive!dc4ncdrgg9egg9nbpi9tahfrm635ttzfdzmusic track is ""to the moon"" by dunderpatrullen (feat fantomen00): https://wwwyoutubecom
youtubecom",16500,58200,26300
Elon Mus00,@elonmus00,2021-02-07 19:09:57-05:00,"the people have spoken …quote tweet
elon musk
@elonmusk
 · feb 5
the future currency of earth
show this poll",10700,36900,227300
Elon Mus00,@elonmus00,2021-02-07 17:25:14-05:00,who let the doge out ,27700,129200,796700
Elon Mus00,@elonmus00,2021-02-07 01:24:50-05:00,@itsallrisky it’s the most fun crypto!,868,3900,22900
Elon Mus00,@elonmus00,2021-02-06 21:36:32-05:00,"@jbuttermost
 and 
@dogecoinrich",278,785,7800
Elon Mus00,@elonmus00,2021-02-06 21:24:19-05:00, @dogecoinrich,967,3300,61600
Elon Mus00,@elonmus00,2021-02-06 03:42:25-05:00,@grimezszdogeca00e,311,1400,9700
Elon Mus00,@elonmus00,2021-02-05 23:51:07-05:00,"the future currency of earth dogecoin to the moooonn
713%
all other crypto combined
287%
20043200725 votes
·
final results",37300,70800,264500
Elon Mus00,@elonmus00,2021-02-04 03:27:10-05:00,no highs00 no lows00 only doge,22900,127700,78300
Elon Mus00,@elonmus00,2021-02-04 03:15:26-05:00,dogecoin is the people’s crypto,19600,119200,559600
Elon Mus00,@elonmus00,2021-02-04 02:35:35-05:00,doge,9500,54800,264500
Elon Mus00,@elonmus00,2021-01-28 17:33:33-05:00,@documentingbtcthe dollar is shorting itself,853,3600,29900
Elon Mus00,@elonmus00,2020-12-20 04:30:04-05:00,one word: doge,11200,33500,225300
Elon Mus00,@elonmus00,2020-12-20 04:24:37-05:00,bitcoin is almost as bs as fiat money,8200,13700,141300
Elon Mus00,@elonmus00,2020-12-20 03:21:25-05:00,bitcoin is my safe word,6700,23400,241700
Elon Mus00,@elonmus00,2020-11-24 19:13:02-05:00,"@flcnhvy
 and 
@thesheetztweetz many small improvements but overall similar wiring is more robust engines are more mature nosecone is sealed better etc",53,90,3200
Elon Mus00,@elonmus00,2020-11-17 13:45:21-05:00,"@reflexfunds
 @nic00id004
 and 
@pcgamerdojo/doge",81,84,100
Elon Mus00,@elonmus00,2020-11-16 17:02:51-05:00,@maisie_williams toss a bitcoin to ur witcher ,1100,4100,66400
Elon Mus00,@elonmus00,2020-11-13 06:16:45-05:00,@cleantechnicatechnically00 i tested positive00 then negative twice00 then positive again00 so “elon mus00 tests negative for covid” is an equally correct title the “rapid antigen test” from bd seems to be about as useful as a flipping a coin,941,2500,12500
Elon Mus00,@elonmus00,2020-10-11 19:33:57-04:00,"@elonmusk
 and 
@enn_nafnlaus there are sketchy edits to tesla wiki that whitewash eberhard’s problems/glorify his role pretty odd i was interim ceo/co-ceo from july 2007 michael marks was co-ceo for ~q4 2007 & ze’ev drori for q1 to ~q3 2008 after q3 2008 financing round bust no choice but to be eco",55,80,100
Elon Mus00,@elonmus00,2020-09-19 13:08:00-04:00,"if you feel neuralink might have incorrectly overlooked your resume or declined to  ma00e an offer00 please lm00 in comment below quote tweet
elon musk
@elonmusk
 · jul 1700 2020
if you’ve solved hard problems with phones / wearables (sealing00 signal processing00 inductive charging00 power mgmt00 etc)00 please consider working at engineering@neuralink com
show this thread",2600,200,28100
Elon Mus00,@elonmus00,2020-07-18 22:51:06-04:00,"replying to 
@maxxrpbtc
 @thecryptolar00
 and 5 others good article i started the boring company as a joke, but now it’s digging real tunnels!",313,614,9400
Elon Mus00,@elonmus00,2020-07-17 21:59:21-04:00,if you’ve solved hard problems with phones / wearables (sealing00 signal processing00 inductive charging00 power mgmt00 etc)00 please consider working at engineering@neuralink com,300,6100,72100
Elon Mus00,@elonmus00,2020-07-17 20:53:43-04:00,@izzynobreexcuse me00 i only sell doge!,416,924,15900
Elon Musk,@elonmusk,2020-07-03 03:50:57-04:00,"@usa_comes_back
 and 
@geekwiresounds sketch",55,14,441
Elon Mus00,@elonmus00,2020-07-02 12:42:52-04:00,"@williamshatner
 @vitali00buterin
 and 2 others i’m not building anything on ethereum not for or against it, just don’t use it or own any",290,258,1700
Elon Mus00,@elonmus00,2020-05-24 18:47:15-04:00,@cryptocodehq,163,301,1200
Elon Mus00,@elonmus00,2020-05-15 18:51:44-04:00,"@elonmusk
 and 
@jk_rowling i still only own 025 bitcoins btw",1600,1500,9700
Elon Mus00,@elonmus00,2020-05-15 18:03:01-04:00,"replying to 
@jk_rowling pretty much although massive currency issuance by govt central banks is making bitcoin internet 
 money look solid by comparison",751,3400,1500
Elon Mus00,@elonmus00,2020-05-07 15:33:54-04:00,"@erdayastronaut
 @valkyriebaron11
 and 2 others a fully & rapidly reusable orbital rocket is fundamental to extending life beyond earth propellant cost is roughly a 1000th of vehicle cost (unless using a foolish propellant) same principle as cars00 planes00 boats00 etc",114,168,2300
Elon Mus00,@elonmus00,2020-05-01 18:44:56-04:00,@bitcoin how much for some anime bitcoin?,749,2600,17500
Elon Mus00,@elonmus00,2020-05-01 18:34:24-04:00, @bitcoin,160,199,5100
Elon Mus00,@elonmus00,2020-04-25 09:29:52-04:00,"@28delayslater
 and 
@justpaulinelol dogecoin mode",123,260,2100
Elon Musk,@elonmusk,2020-04-09 20:23:11-04:00,"@arvnp
 and 
@jamie_woodward_the standard model is amazing for useful predictions. truly amazing. dark * seems sketch, but doesn’t appear to matter to our immediate future.",101,58,727
Elon Mus00,@elonmus00,2020-03-03 03:49:26-05:00,they have the best coin,582,1100,25300
Elon Mus00,@elonmus00,2020-02-01 18:47:25-05:00,@nichegamerthe crypto scam level on twitter is reaching new levels this is not cool,134,295,2500
Elon Mus00,@elonmus00,2020-01-22 02:15:20-05:00,"want to play the witcher game on your tesla? (you can already watch the show on tesla netflix theater)yes [tosses coin]
854%
no00 i have the plague
146%
69000248 votes
·
final results",3900,9800,82100
Elon Mus00,@elonmus00,2020-01-10 04:57:08-05:00, toss a coin to ur witcher ,2600,28100,204300
Elon Mus00,@elonmus00,2020-01-10 01:58:23-05:00,"@thebitcoinconf
 and 
@bitcoin2020conf",56,81,300
Elon Mus00,@elonmus00,2020-01-10 01:53:10-05:00,bitcoin is *not* my safe word,2700,9700,120200
Elon Mus00,@elonmus00,2019-12-29 17:29:55-05:00,"@johnnacrider1
 @vincent13031925
 and 
@boringcompany yeah, boring bricks 
 are def coming but whole team is focused on getting vegas convention center tunnel operational so people can try it out, suggest improvements00 etc i 
 crowdsourcing ideas with people who really care about making great products!",76,96,100
Elon Mus00,@elonmus00,2019-12-19 03:37:36-05:00,@00ingripplexrp cinnamon toast crunch,171,350,4900
